batch_id,amine_smiles,cobalt_smiles,oxidant_smiles,alkali_smiles,solvent_smiles,yield,ee,select_tag
5,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,CC(=O)O,ClCCCl,37,64,TRUE
5,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-10,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,28,61,TRUE
5,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,F[n+]1ccccc1,O=C(O)c1ccccc1,ClCCCl,26,36,TRUE
5,CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=C([O-])C(F)(F)F,Co-2,O=C1c2ccccc2C(=O)N1Cl,CC(=O)O,ClCCCl,24,55,TRUE
6,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,CC(=O)O,ClC(Cl)Cl,19,65,TRUE
6,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Mn-1,O=C1c2ccccc2C(=O)N1Cl,CC(=O)O,CC#N,21,62,TRUE
6,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,30,70,TRUE
6,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Mn-1,O=C1c2ccccc2C(=O)N1Cl,CC(=O)O,ClC(Cl)Cl,36,51,TRUE
6,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Mn-1,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClC(Cl)Cl,38,55,TRUE
7,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,C1CN2CCN1CC2,CC#N,0,0,TRUE
7,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,CN(C)c1ccncc1,CC#N,0,0,TRUE
7,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-11,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,30,8,TRUE
7,CC(=O)[O-].CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C,Co-4,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,21,0,TRUE
7,CC(=O)[O-].CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C,Co-8,F[n+]1ccccc1,CC(=O)O,ClCCCl,22,4,TRUE
8,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=S(=O)([O-])C(F)(F)F,Co-5,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClC(Cl)Cl,32,60,TRUE
8,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,25,70,TRUE
8,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=S(=O)([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,38,34,TRUE
8,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-11,F[n+]1ccccc1,O=C(O)c1ccccc1,ClCCCl,21,85,TRUE
